Theta 29.800001| s'x 10.696592 | s'y -4.196593 | t'xy 9.318113 
Theta 29.900000| s'x 10.676386 | s'y -4.176386 | t'xy 9.322974 
Theta 30.000000| s'x 10.656089 | s'y -4.156089 | t'xy 9.327723 
Theta 30.100000| s'x 10.635701 | s'y -4.135701 | t'xy 9.332356 
Theta 30.200001| s'x 10.615223 | s'y -4.115223 | t'xy 9.336877 
Theta 30.300001| s'x 10.594656 | s'y -4.094656 | t'xy 9.341284 
Theta 30.400000| s'x 10.573999 | s'y -4.073999 | t'xy 9.345577 
Theta 30.500000| s'x 10.553253 | s'y -4.053253 | t'xy 9.349756 
Theta 30.600000| s'x 10.532418 | s'y -4.032418 | t'xy 9.353821 
Theta 30.700001| s'x 10.511495 | s'y -4.011494 | t'xy 9.357773 
Theta 30.800001| s'x 10.490481 | s'y -3.990482 | t'xy 9.361609 
Theta 30.900000| s'x 10.469381 | s'y -3.969381 | t'xy 9.365333 
Theta 31.000000| s'x 10.448193 | s'y -3.948193 | t'xy 9.368942 
Theta 31.100000| s'x 10.426917 | s'y -3.926917 | t'xy 9.372437 
Theta 31.200001| s'x 10.405553 | s'y -3.905553 | t'xy 9.375817 
Theta 31.300001| s'x 10.384102 | s'y -3.884102 | t'xy 9.379084 
Theta 31.400000| s'x 10.362564 | s'y -3.862565 | t'xy 9.382236 
Theta 31.500000| s'x 10.340940 | s'y -3.840940 | t'xy 9.385274 
Theta 31.600000| s'x 10.319229 | s'y -3.819229 | t'xy 9.388197 
Theta 31.700001| s'x 10.297432 | s'y -3.797432 | t'xy 9.391006 
Theta 31.800001| s'x 10.275549 | s'y -3.775549 | t'xy 9.393701 
Theta 31.900000| s'x 10.253581 | s'y -3.753581 | t'xy 9.396281 
Theta 32.000000| s'x 10.231526 | s'y -3.731527 | t'xy 9.398746 
Theta 32.100002| s'x 10.209387 | s'y -3.709387 | t'xy 9.401098 
Theta 32.200001| s'x 10.187164 | s'y -3.687164 | t'xy 9.403335 
Theta 32.299999| s'x 10.164856 | s'y -3.664856 | t'xy 9.405457 
Theta 32.400002| s'x 10.142463 | s'y -3.642463 | t'xy 9.407464 
Theta 32.500000| s'x 10.119987 | s'y -3.619987 | t'xy 9.409357 
Theta 32.600002| s'x 10.097426 | s'y -3.597427 | t'xy 9.411136 
Theta 32.700001| s'x 10.074783 | s'y -3.574783 | t'xy 9.412799 
Theta 32.799999| s'x 10.052056 | s'y -3.552057 | t'xy 9.414348 
Theta 32.900002| s'x 10.029247 | s'y -3.529247 | t'xy 9.415782 
Theta 33.000000| s'x 10.006354 | s'y -3.506355 | t'xy 9.417101 
Theta 33.100002| s'x 9.983379 | s'y -3.483380 | t'xy 9.418305 
Theta 33.200001| s'x 9.960323 | s'y -3.460324 | t'xy 9.419395 
Theta 33.299999| s'x 9.937185 | s'y -3.437185 | t'xy 9.420371 
Theta 33.400002| s'x 9.913965 | s'y -3.413965 | t'xy 9.421231 
Theta 33.500000| s'x 9.890664 | s'y -3.390664 | t'xy 9.421976 
